customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
ID_21,Male,0,Yes,No,10,Yes,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,72.26800851945507,4315.273764007469,No
ID_22,Female,1,Yes,Yes,26,No,Fiber optic,Yes,Yes,No internet service,Yes,No,No internet service,One year,Yes,Bank transfer,29.844872092902147,4926.1525905425315,No
ID_23,Female,0,Yes,Yes,8,No,DSL,No internet service,No internet service,No internet service,Yes,No,No,One year,Yes,Credit card,55.273678743499914,3630.710674097361,No
ID_24,Female,0,Yes,Yes,8,Yes,Fiber optic,No internet service,Yes,No,No internet service,No internet service,Yes,One year,No,Bank transfer,24.761227385868573,6454.464416226967,No
ID_25,Female,0,Yes,No,60,Yes,DSL,No internet service,Yes,No internet service,No,Yes,No,One year,Yes,Electronic check,86.98653563302638,5117.769117983349,Yes
ID_26,Female,0,Yes,Yes,34,Yes,DSL,Yes,Yes,Yes,No,No internet service,No internet service,One year,Yes,Bank transfer,53.712378430713365,1624.1305167925411,No
ID_27,Female,0,Yes,No,16,No,DSL,Yes,No,No internet service,No,Yes,No internet service,Two year,Yes,Bank transfer,93.83626937842142,6046.5298693526975,No
ID_28,Female,1,Yes,Yes,13,No,No,No,No internet service,No internet service,Yes,No,Yes,One year,No,Mailed check,62.97101641177831,4070.2428517997955,No
ID_29,Female,0,No,No,22,Yes,Fiber optic,No,No internet service,No,Yes,Yes,Yes,Two year,No,Bank transfer,24.558832730586857,394.4702970973595,No
ID_30,Male,0,Yes,No,27,No,DSL,No,No internet service,Yes,Yes,No internet service,No,Month-to-month,No,Mailed check,57.96160362499622,3219.2674130942023,No
ID_31,Male,0,No,Yes,64,Yes,No,No,No,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer,41.86945591008971,3273.6453766701884,No
ID_32,Female,1,Yes,No,2,No,Fiber optic,Yes,No,Yes,No,No internet service,No internet service,One year,No,Electronic check,41.42907507952447,6431.32484105743,No
ID_33,Female,1,No,No,26,No,Fiber optic,No internet service,Yes,No,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card,57.7609835883574,1948.336877966369,Yes
ID_34,Female,1,Yes,No,69,No,No,No internet service,No,Yes,No internet service,No internet service,No internet service,Two year,No,Electronic check,117.83263103315149,3675.028142570236,Yes
ID_35,Male,1,Yes,Yes,30,Yes,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card,116.00692554287527,529.8137747702101,No
ID_36,Female,0,Yes,No,8,No,No,No internet service,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Bank transfer,100.34542287325564,7063.374478528057,Yes
ID_37,Male,1,No,Yes,38,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,44.54672502918186,3606.2158749014443,Yes
ID_38,Male,0,No,Yes,61,Yes,No,Yes,No,No,No,No,No,One year,No,Mailed check,96.39291034983515,6867.08745458247,Yes
ID_39,Male,0,No,No,65,Yes,Fiber optic,No internet service,No internet service,No,No internet service,Yes,Yes,Two year,No,Electronic check,21.53634485350709,5450.171301016113,Yes
ID_40,Male,1,No,Yes,67,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Mailed check,25.63490566047109,2626.839640022321,No
ID_41,Male,1,Yes,No,46,Yes,DSL,No,No,Yes,No internet service,Yes,No,One year,No,Bank transfer,103.57327659896103,5730.383970694276,No
ID_42,Female,1,Yes,Yes,43,Yes,No,No,No,Yes,No,No internet service,No,Two year,Yes,Bank transfer,76.42366015593194,3803.9143531009263,Yes
ID_43,Female,1,Yes,No,59,Yes,DSL,No internet service,Yes,Yes,No internet service,No internet service,Yes,One year,Yes,Credit card,57.330767503005,2795.75350795144,No
ID_44,Female,1,No,Yes,46,Yes,No,No internet service,No,No,No internet service,No internet service,No internet service,Two year,No,Electronic check,94.0458359866635,5376.63056836453,Yes
ID_45,Female,0,Yes,No,35,Yes,No,No,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,31.43629837345493,6217.255372258032,No
ID_46,Female,1,No,No,39,No,No,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card,48.668646124261045,5540.03782163046,No
ID_47,Male,1,No,No,51,Yes,DSL,Yes,Yes,Yes,No internet service,Yes,Yes,One year,No,Credit card,92.7608562227965,3756.5958255273295,No
ID_48,Female,1,No,No,4,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer,40.716882293378205,2148.536570373588,Yes
ID_49,Female,0,No,Yes,51,Yes,Fiber optic,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,80.06426308789864,6502.127246806628,No
ID_50,Male,1,No,Yes,5,No,DSL,No,Yes,No,No,No internet service,Yes,One year,No,Mailed check,64.7663250478312,2838.51455158674,Yes
ID_51,Female,0,Yes,No,55,No,No,Yes,No internet service,No internet service,No,No internet service,Yes,Month-to-month,Yes,Credit card,40.23638241223934,4942.347414030667,Yes
ID_52,Male,1,No,Yes,20,No,No,No,Yes,No internet service,No,No,No,Two year,Yes,Bank transfer,108.83827098070421,1011.2545289488186,No
ID_53,Female,1,No,No,24,No,No,No,No internet service,Yes,No,No,Yes,Two year,No,Electronic check,63.55275592673499,5948.197194961436,Yes
ID_54,Male,0,Yes,No,36,No,DSL,Yes,No internet service,Yes,Yes,No,Yes,Two year,No,Electronic check,79.88399756074367,7628.0114392501555,No
ID_55,Female,1,No,Yes,34,No,Fiber optic,Yes,No internet service,No,No internet service,Yes,No,Month-to-month,Yes,Credit card,45.303763538527136,3649.377549598526,No
ID_56,Female,0,No,Yes,54,Yes,DSL,No internet service,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,54.68049550243501,4432.025724591918,No
ID_57,Male,0,Yes,No,34,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,No,Bank transfer,24.898383854652742,7205.970487279905,No
ID_58,Male,0,Yes,Yes,17,Yes,DSL,No,Yes,No internet service,No,Yes,No,One year,No,Electronic check,68.32143326150455,6382.855842446462,Yes
ID_59,Male,1,Yes,No,5,Yes,No,No,No internet service,No internet service,No,No internet service,No internet service,Two year,No,Electronic check,54.48460738215232,7702.012465000145,No
ID_60,Male,1,No,Yes,18,Yes,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,Yes,One year,No,Bank transfer,52.94037710708032,2201.9130743768337,No
ID_61,Male,1,Yes,Yes,55,Yes,DSL,No,No,No,Yes,No,No,One year,No,Mailed check,108.99432908591449,3812.9449185150233,No
ID_62,Male,0,Yes,Yes,53,No,No,No internet service,No,Yes,No,Yes,No,One year,No,Mailed check,90.38698982153427,3699.580633491166,No
ID_63,Male,1,Yes,Yes,50,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,Yes,Two year,Yes,Credit card,65.72895264980264,3837.50464601112,Yes
ID_64,Male,0,No,Yes,45,No,Fiber optic,No,No,No,Yes,Yes,No internet service,Two year,Yes,Bank transfer,39.53512072657084,7313.693574408485,No
ID_65,Female,1,Yes,No,13,No,No,Yes,No internet service,No,No internet service,No internet service,Yes,Two year,No,Mailed check,117.32514044561891,1723.568400407161,No
ID_66,Female,0,No,Yes,16,No,No,No internet service,No internet service,No,No,No internet service,No,Month-to-month,Yes,Electronic check,27.476529062418557,7169.689465125843,Yes
ID_67,Male,0,No,Yes,13,No,DSL,No internet service,No internet service,No internet service,No,No internet service,No,Two year,Yes,Credit card,33.61060351847865,4611.90170135883,No
ID_68,Female,0,Yes,No,20,No,DSL,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer,47.03215392603807,4341.056138077598,Yes
ID_69,Female,1,No,No,66,No,No,No,No internet service,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer,115.4528355325593,3390.3486294372633,No
ID_70,Female,0,No,No,47,Yes,DSL,No,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card,47.88821052972593,4363.188111235415,Yes
ID_71,Female,0,Yes,Yes,19,No,No,No,No,No internet service,No,No,Yes,Two year,Yes,Mailed check,69.14263219835439,6445.9928855028875,No
ID_72,Male,0,No,Yes,45,No,No,No,Yes,No internet service,No internet service,No,No internet service,Two year,Yes,Credit card,96.11647290806152,3988.649377758887,No
ID_73,Female,0,Yes,No,37,Yes,DSL,No,No,No,Yes,No,No internet service,Two year,Yes,Credit card,112.91856337161613,6230.579289705312,Yes
ID_74,Male,0,No,No,54,Yes,DSL,No,Yes,No internet service,No,No,No internet service,Two year,No,Bank transfer,80.50900092692076,3391.4310826690426,Yes
ID_75,Female,0,No,No,6,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No,One year,No,Bank transfer,58.42774027529535,1544.877417931099,No
ID_76,Female,1,Yes,No,14,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,Two year,No,Electronic check,118.55086500603568,3375.8350700359624,Yes
ID_77,Female,1,Yes,Yes,4,Yes,DSL,No,Yes,No,No,No internet service,No,Two year,No,Credit card,22.616262514410717,5814.418243563449,No
ID_78,Male,0,No,Yes,55,Yes,DSL,No internet service,No internet service,No,No,No,No internet service,Two year,Yes,Bank transfer,103.21731664465254,6828.839676365334,No
ID_79,Female,1,No,Yes,34,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No internet service,Two year,No,Bank transfer,47.74298193546537,6195.839048240488,No
ID_80,Male,1,Yes,Yes,27,No,Fiber optic,No,Yes,No internet service,Yes,No,No,Two year,No,Bank transfer,101.74518126738354,3058.1888302721068,Yes
ID_81,Female,0,No,Yes,7,Yes,DSL,Yes,No internet service,No internet service,Yes,No internet service,Yes,One year,Yes,Bank transfer,36.21668782666319,4675.275855293624,Yes
ID_82,Male,0,No,No,3,No,Fiber optic,No,Yes,Yes,No,No,No internet service,One year,No,Credit card,54.68184150371933,2947.576041681047,No
ID_83,Female,0,No,Yes,47,Yes,Fiber optic,No,Yes,No internet service,Yes,Yes,No,Month-to-month,No,Credit card,25.597132686184068,5665.527762277968,Yes
ID_84,Male,1,No,No,2,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,39.96222560843651,3547.9723725092235,No
ID_85,Male,0,Yes,No,25,No,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,Yes,Two year,No,Credit card,80.27923363881933,6142.214483985546,No
ID_86,Female,1,Yes,No,60,Yes,No,No internet service,No internet service,Yes,No,No,Yes,Month-to-month,No,Bank transfer,96.15020563520748,201.08964490368896,No
ID_87,Male,0,Yes,Yes,24,Yes,DSL,No,No internet service,No,No,No internet service,No,One year,Yes,Electronic check,111.12267942765338,2787.2130232834797,No
ID_88,Female,1,Yes,No,15,Yes,DSL,Yes,No internet service,Yes,No,Yes,No internet service,Two year,Yes,Credit card,31.968553675881033,7037.9573296917815,No
ID_89,Female,0,Yes,Yes,14,Yes,No,No,No internet service,No,Yes,Yes,No internet service,Month-to-month,No,Mailed check,34.057285229267706,2656.0046095771454,No
ID_90,Female,0,Yes,No,54,Yes,DSL,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,No,Credit card,113.87755512861176,3218.6385486158324,No
ID_91,Female,1,No,Yes,6,Yes,Fiber optic,No,No,No internet service,Yes,No internet service,Yes,One year,No,Bank transfer,96.59746593229758,6346.779345486059,Yes
ID_92,Female,1,Yes,No,18,Yes,No,No,Yes,Yes,No,No internet service,No internet service,Two year,Yes,Mailed check,73.97514560148039,847.4647671258892,No
ID_93,Female,1,No,Yes,20,No,Fiber optic,No internet service,No,No internet service,Yes,No,No,Month-to-month,No,Bank transfer,67.67255651922065,2563.9509585771502,No
ID_94,Female,1,No,No,62,Yes,No,No,No internet service,Yes,No,No,No internet service,One year,No,Bank transfer,35.771592028800484,6218.292267058126,No
ID_95,Female,1,No,No,40,No,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,No internet service,Two year,No,Credit card,57.93013383826591,7660.438123021204,Yes
ID_96,Female,1,Yes,No,39,No,DSL,No internet service,No internet service,No internet service,Yes,Yes,No internet service,One year,No,Credit card,57.26047709817764,6284.40739442719,Yes
ID_97,Female,0,No,No,52,No,DSL,No,Yes,No,No,No internet service,No internet service,Two year,Yes,Mailed check,84.83464948529718,1462.0582660093874,No
ID_98,Female,1,Yes,Yes,32,No,DSL,No internet service,Yes,Yes,Yes,No internet service,No,Two year,Yes,Mailed check,79.89049582602607,6696.651746576291,Yes
ID_99,Male,0,No,Yes,27,No,No,No,Yes,No,No,No internet service,No internet service,Two year,No,Mailed check,25.971102987031163,3858.622560420494,No
ID_100,Male,0,No,Yes,52,No,DSL,No internet service,Yes,No internet service,Yes,No internet service,Yes,One year,No,Mailed check,104.84801395164084,6285.743196458958,No
ID_101,Female,1,Yes,No,63,No,No,No internet service,Yes,No internet service,Yes,No,No internet service,Two year,Yes,Electronic check,113.75477300608563,1990.9011071408804,Yes
ID_102,Female,0,No,No,63,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,98.02083816230578,2794.947366187104,No
ID_103,Female,1,No,No,17,Yes,DSL,No internet service,No,No internet service,No,Yes,Yes,Two year,Yes,Credit card,37.83843797748129,7222.9345872487465,No
ID_104,Female,1,No,No,49,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,Yes,Two year,Yes,Electronic check,37.216832941137625,7295.31826795748,No
ID_105,Female,0,No,No,23,No,DSL,No internet service,No,Yes,Yes,No internet service,No,One year,No,Bank transfer,92.61121651569414,2352.8870617271705,No
ID_106,Female,0,Yes,No,13,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No,Yes,Two year,Yes,Bank transfer,64.08676159353973,760.0615553144637,Yes
ID_107,Female,1,No,Yes,23,No,No,No,No internet service,Yes,No internet service,No,Yes,Month-to-month,Yes,Mailed check,97.88038554302315,7439.218028145643,No
ID_108,Female,1,No,Yes,57,No,DSL,No,No internet service,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer,27.547901123652334,2473.19202068934,No
ID_109,Male,0,Yes,Yes,62,Yes,No,No,No internet service,No internet service,No,No,No,Two year,No,Electronic check,91.6436490310582,1048.9431269094944,No
ID_110,Female,0,No,Yes,54,No,No,No internet service,No,Yes,No,No internet service,No,One year,No,Credit card,62.409595694571145,2850.100837033841,No
ID_111,Male,0,No,Yes,20,No,Fiber optic,No internet service,No internet service,No,No,Yes,No,Month-to-month,No,Credit card,23.098489158315655,2327.792292819943,Yes
ID_112,Female,0,No,Yes,52,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,74.5157956143534,736.3996467216416,No
ID_113,Female,1,No,Yes,23,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,89.90358504781888,7871.539610427127,No
ID_114,Male,1,Yes,Yes,35,Yes,Fiber optic,Yes,No,Yes,No,No internet service,Yes,One year,No,Mailed check,72.82395444714416,2420.7891185661197,No
ID_115,Female,1,No,No,67,No,Fiber optic,No,No,No internet service,No,No,No internet service,Two year,Yes,Mailed check,32.28799419389992,2251.797757923159,No
ID_116,Male,1,Yes,No,34,No,Fiber optic,No,Yes,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,101.5909120707334,3417.451153887156,Yes
ID_117,Female,0,No,No,33,Yes,DSL,Yes,No,No,No,No internet service,No,One year,No,Mailed check,51.708483048500895,3377.091760420087,No
ID_118,Female,0,No,No,46,Yes,DSL,No internet service,No internet service,No,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card,112.14598684638459,3527.23767107369,No
ID_119,Male,1,No,No,45,Yes,Fiber optic,No,No,No internet service,No,Yes,No internet service,Two year,Yes,Electronic check,110.68754563429418,7262.376752042246,No
ID_120,Female,1,Yes,No,19,No,DSL,No,No internet service,No internet service,No,No,No,Two year,No,Electronic check,40.03624455366489,575.8675152011775,No
ID_121,Male,1,No,No,15,No,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,Yes,Two year,Yes,Bank transfer,67.63653833306911,7538.995861141282,No
ID_122,Female,1,No,Yes,66,Yes,DSL,No,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Bank transfer,33.73655239069499,5360.7717944991045,Yes
ID_123,Male,1,Yes,Yes,39,Yes,DSL,Yes,No internet service,No,No internet service,No,No,Month-to-month,Yes,Mailed check,87.7746989470935,5610.335030533645,No
ID_124,Male,1,Yes,No,18,Yes,Fiber optic,No,No internet service,No,Yes,No,Yes,Two year,Yes,Mailed check,105.19169450251162,1347.0311120242416,No
ID_125,Female,1,Yes,Yes,70,No,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Credit card,84.8373294040954,2700.0922252689434,No
ID_126,Female,1,Yes,Yes,59,No,DSL,No internet service,Yes,No internet service,No,Yes,No internet service,One year,Yes,Mailed check,46.0474848845503,512.5331546262539,No
ID_127,Male,1,No,Yes,32,Yes,Fiber optic,No,Yes,No,Yes,Yes,No internet service,One year,Yes,Credit card,27.63147447916853,5259.324405173595,Yes
ID_128,Female,0,No,Yes,21,Yes,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No internet service,One year,No,Mailed check,26.92604763302529,2784.8081701334418,Yes
ID_129,Female,1,No,Yes,40,Yes,Fiber optic,No,No,No,No,No,No internet service,One year,Yes,Credit card,81.09280808712562,4454.902559676788,Yes
ID_130,Female,0,No,No,27,No,Fiber optic,Yes,No,No,No internet service,Yes,Yes,Two year,No,Electronic check,115.33286033087946,6046.553641807845,No
ID_131,Male,0,Yes,Yes,2,Yes,DSL,No,No internet service,No,No,No,No,One year,Yes,Credit card,89.52781777497805,4472.919418101881,Yes
ID_132,Male,1,No,No,39,Yes,No,No internet service,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,93.06261671204662,664.8101618761907,Yes
ID_133,Male,1,No,No,56,Yes,DSL,No internet service,No internet service,No internet service,No,No,No,Two year,No,Bank transfer,52.93003356520461,586.957092427999,Yes
ID_134,Male,0,No,No,13,No,Fiber optic,No,No,Yes,No internet service,No,No,Month-to-month,No,Mailed check,78.60385563112291,6950.546292460654,No
ID_135,Male,0,No,Yes,56,No,Fiber optic,No,No internet service,Yes,Yes,No,No,One year,No,Electronic check,51.65999863478548,2170.9807754248964,No
ID_136,Male,1,Yes,No,66,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer,110.16657470555998,2961.464792854953,No
ID_137,Male,0,No,No,56,No,Fiber optic,No internet service,No,No internet service,No,No internet service,No,Two year,No,Credit card,33.25139816865823,1825.3314985854056,No
ID_138,Male,1,No,No,28,Yes,DSL,No internet service,Yes,Yes,No internet service,No internet service,No,Two year,No,Bank transfer,83.20244976740466,5621.159561605144,No
ID_139,Male,1,No,No,64,Yes,No,Yes,No,Yes,No,No internet service,No,One year,Yes,Mailed check,93.08448356484452,3150.179140163356,No
ID_140,Female,1,Yes,Yes,71,Yes,Fiber optic,No,No,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer,89.84901058389939,3704.9709126132834,No
ID_141,Male,0,Yes,No,64,Yes,No,No,No internet service,No,No internet service,No,No internet service,Two year,Yes,Bank transfer,45.73166701890598,5428.264085238551,No
ID_142,Female,0,No,No,56,No,No,No internet service,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,68.60317335865417,5022.2092767372815,No
ID_143,Female,1,No,No,41,Yes,Fiber optic,No,No,No internet service,No internet service,Yes,Yes,One year,No,Mailed check,86.33468314423038,6217.318256238842,No
ID_144,Female,0,No,No,41,Yes,Fiber optic,Yes,No,No,Yes,No,No internet service,One year,No,Electronic check,113.0943132237593,6015.681108115761,No
ID_145,Male,0,Yes,Yes,4,No,DSL,No,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Bank transfer,69.9659985360189,3575.1665900101098,No
ID_146,Male,0,No,No,57,Yes,DSL,No internet service,No,No internet service,No,Yes,No,Two year,No,Credit card,50.050882142894295,1615.6524785094089,No
ID_147,Male,0,No,No,30,No,Fiber optic,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,58.65209337461902,1863.4356004118279,No
ID_148,Male,0,No,No,46,Yes,DSL,No internet service,No,No,Yes,No internet service,Yes,Two year,No,Bank transfer,74.13190281025165,5683.23156143774,Yes
ID_149,Female,0,Yes,No,56,Yes,No,Yes,No internet service,No internet service,No,No internet service,No internet service,Two year,No,Mailed check,117.63588057077519,2164.1873422570893,No
ID_150,Male,0,No,No,31,Yes,No,Yes,No internet service,Yes,Yes,No internet service,No,Month-to-month,Yes,Electronic check,82.83316066264527,3579.590702516065,No
ID_151,Male,1,No,No,7,Yes,Fiber optic,No,No,No,Yes,Yes,No internet service,Two year,Yes,Mailed check,35.47361610062278,952.4543061877708,No
ID_152,Male,0,Yes,Yes,54,No,DSL,No,No,No internet service,Yes,No internet service,No,Two year,No,Mailed check,104.31440882350286,1065.8455721871564,No
ID_153,Male,0,Yes,No,8,Yes,Fiber optic,No internet service,No,Yes,No,Yes,No,Two year,Yes,Electronic check,38.14471972494654,2074.5860021197504,No
ID_154,Male,0,No,Yes,55,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,23.874619896236663,770.1822115872955,No
ID_155,Female,0,Yes,Yes,69,No,Fiber optic,Yes,No internet service,No internet service,Yes,No,No internet service,Two year,No,Electronic check,30.020995411009395,2269.027238732617,No
ID_156,Male,0,No,No,44,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer,98.61217676528707,4588.721745513733,No
ID_157,Female,0,Yes,Yes,13,Yes,Fiber optic,Yes,Yes,No,No internet service,No,No,One year,Yes,Bank transfer,110.18956750881237,5983.67336185705,Yes
ID_158,Male,0,Yes,No,20,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer,46.82032535749804,358.3513724565287,Yes
ID_159,Female,0,No,Yes,32,No,No,No,No,No,No internet service,Yes,Yes,One year,No,Credit card,69.81097707721553,4844.8725838957325,Yes
ID_160,Male,1,No,No,60,No,Fiber optic,No internet service,No internet service,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,79.72230158498178,2969.172960419322,No
ID_161,Male,0,No,Yes,50,Yes,Fiber optic,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,61.869041607195335,1890.4662552581372,No
ID_162,Female,0,Yes,Yes,27,Yes,DSL,No,No internet service,No internet service,Yes,Yes,No,One year,Yes,Mailed check,26.532401865103523,351.67631749638315,No
ID_163,Female,0,No,No,25,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,Two year,No,Credit card,25.665273867848086,2674.9039794063474,No
ID_164,Female,0,No,Yes,52,No,DSL,Yes,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,64.03493640601968,6338.457778770458,No
ID_165,Male,1,No,Yes,68,Yes,Fiber optic,No,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Credit card,99.78676511457249,4287.180914423514,No
ID_166,Female,1,No,Yes,21,No,DSL,No internet service,No internet service,No,Yes,No internet service,Yes,One year,Yes,Mailed check,28.462973600528976,6227.591261250546,Yes
ID_167,Male,1,No,Yes,18,No,Fiber optic,No internet service,Yes,No internet service,No,No,No internet service,Two year,No,Credit card,40.56757138319642,3357.610793336027,No
ID_168,Male,1,Yes,Yes,39,No,DSL,Yes,Yes,Yes,No internet service,No,No,One year,No,Electronic check,46.97678726007565,6761.708703800363,No
ID_169,Female,1,No,No,15,Yes,Fiber optic,No internet service,No,No internet service,No internet service,Yes,Yes,One year,Yes,Mailed check,75.91260187245936,1287.7997606344243,Yes
ID_170,Female,1,No,Yes,53,No,Fiber optic,No,No,No internet service,No internet service,Yes,Yes,One year,No,Mailed check,24.31960256237398,6578.266017219748,Yes
ID_171,Male,1,Yes,Yes,38,No,DSL,No internet service,No internet service,No,No internet service,Yes,No,Two year,No,Electronic check,106.00428078549002,3860.4022622362722,No
